variant,param,sample,n_vars,n_clauses,encode_s,bootstrap_s,solve_s,wall_s,sat,conflicts,decisions,propagations,restarts,witness_hex,timeout,extra
A,1,0,3,62,0.0035727079957723618,0.0015860419953241944,1.6874982975423336e-05,0.07519424997735769,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=117
A,1,1,3,69,0.0035053750034421682,6.36249897070229e-05,7.0829992182552814e-06,0.05786258401349187,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=266
A,1,2,3,66,0.0035520410165190697,6.162497447803617e-05,7.0420210249722e-06,0.05836824997095391,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=47
A,1,3,3,64,0.0035908750141970813,6.491702515631914e-05,7.333001121878624e-06,0.05743695900309831,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=6
A,1,4,3,66,0.003528707951772958,6.304203998297453e-05,7.166003342717886e-06,0.05863529100315645,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=272
A,1,5,3,62,0.0035561249824240804,6.191700231283903e-05,6.9160014390945435e-06,0.05796970898518339,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=117
A,1,6,3,72,0.003569624968804419,6.345903966575861e-05,7.4160052463412285e-06,0.05765229096869007,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=271
A,1,7,3,60,0.0034769170451909304,6.133300485089421e-05,6.958958692848682e-06,0.058478707971517,True,0,0,3,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,free_positions=325
A,2,0,29617,100710,0.016008540987968445,0.03365254198433831,0.007970666978508234,0.1240258330362849,True,32,79,54736,9,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=9,230"
A,2,1,29826,101406,0.01597975002368912,0.032453583960887045,0.003154125006403774,0.1177108749980107,True,0,0,5848,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=41,167"
A,2,2,29391,99960,0.01554574997862801,0.03217495803255588,0.006397707969881594,0.11984558403491974,True,0,0,2470,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=79,198"
A,2,3,25826,88084,0.01439933298388496,0.027837708010338247,0.005518583988305181,0.11183512501884252,True,0,0,2731,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=362,369"
A,2,4,30660,104184,0.01584204100072384,0.033163500018417835,0.003762416949030012,0.11886679194867611,True,0,0,3315,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=3,91"
A,2,5,30041,102120,0.015860999992582947,0.032926667015999556,0.0017979999538511038,0.11670166702242568,True,0,0,6729,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=105,163"
A,2,6,30692,104297,0.015936208015773445,0.03317058301763609,0.010944666981231421,0.12671870802296326,True,70,206,111090,12,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=39,77"
A,2,7,29566,100535,0.015568333037663251,0.0322977919713594,0.00782670802436769,0.12189900001976639,True,51,153,74517,7,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=101,160"
A,4,0,29626,100737,0.016015749948564917,0.03250270802527666,0.020083500014152378,0.13506150001194328,True,89,138,185296,7,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=3,167,338,359"
A,4,1,28941,98446,0.01539604103891179,0.03175116697093472,0.03307920799124986,0.14639733301009983,True,69,154,361206,11,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=209,217,385,394"
A,4,2,29661,100855,0.01564008300192654,0.032603500003460795,0.03819708403898403,0.15286666702013463,True,297,3339,638391,53,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=153,165,222,374"
A,4,3,29393,99955,0.015547832997981459,0.032170374994166195,0.03023591701639816,0.14414058299735188,True,570,3743,282044,37,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=84,183,254,388"
A,4,4,30526,103731,0.016099875036161393,0.0336362500092946,0.017086541978642344,0.13347225001780316,True,35,124,159695,10,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=23,135,370,383"
A,4,5,28654,97499,0.015208708005957305,0.03144091699505225,0.029272333020344377,0.14228624996030703,True,114,403,593802,10,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=155,265,342,392"
A,4,6,31752,107808,0.016524292004760355,0.034508374985307455,0.019638708035927266,0.13896345801185817,True,57,159,197696,15,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=30,67,169,175"
A,4,7,28683,97596,0.015794457984156907,0.03110604197718203,0.0017863329849205911,0.11478016601176932,True,0,0,5289,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=61,266,329,389"
A,6,0,28827,98060,0.015453957952558994,0.031565750017762184,0.03360541700385511,0.14758033299585804,True,186,555,421822,17,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=142,263,301,319,385,400"
A,6,1,30694,104286,0.015909874986391515,0.03320583299500868,0.07339295803103596,0.19026395899709314,True,311,828,879032,38,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=86,159,319,368,376,407"
A,6,2,31727,107728,0.016351375030353665,0.0347066669492051,0.12141229101689532,0.24007591704139486,True,321,1088,1803771,38,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=4,79,124,142,167,351"
A,6,3,31676,107565,0.016276834008749574,0.0343247500131838,0.04647091601509601,0.16419816704001278,True,809,8081,567502,93,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=48,94,209,246,377,392"
A,6,4,30466,103531,0.0158214169787243,0.03323491697665304,0.14605491602560505,0.26242137502413243,True,647,2372,1855409,63,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=50,188,267,297,299,398"
A,6,5,30530,103750,0.016001250012777746,0.033660124987363815,0.048302542010787874,0.16477595799369738,True,145,418,691557,17,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=88,138,310,375,395,399"
